id,expected_shop_name,expected_barcode,expected_brand,expected_category,expected_old_description,proposed_official_name,barcode_aliases,official_source_url,independent_source_url,barcode_source_url,confidence,review_status,unresolved_notes,evidence_notes,prior_confidence,prior_evidence,approved_for_apply,reviewed_by,reviewed_at_utc,current_official_name,barcodes,flags,evidence
195,Aveeno Eye Cream 14mL,381371163816,Aveeno,Skincare,"Official Product Name:
Aveeno Eye Cream 14mL",Aveeno Absolutely Ageless 3-in-1 Under Eye Anti-Wrinkle Cream 0.5 oz,385371163814,https://www.upcitemdb.com/upc/381371163816,https://www.amazon.com/Aveeno-Anti-Wrinkle-Antioxidant-Rich-Hypoallergenic-Non-Comedogenic/dp/B016OIV4VA,https://www.walmart.com/ip/380383842,high,verified,name confirmed by 2 independent sources and corroborated by barcode,"https://www.upcitemdb.com/upc/381371163816 (matched: ""UPC 381371163816 - Aveeno Absolutely Ageless 3in1 Under Eye AntiWrinkle Cream - 0.5oz""; via name:Aveeno Eye Cream 14mL) | https://www.amazon.com/Aveeno-Anti-Wrinkle-Antioxidant-Rich-Hypoallergenic-Non-Comedogenic/dp/B016OIV4VA (matched: ""Aveeno Absolutely Ageless 3-in-1 Anti-Wrinkle Eye Cream, 0.5 oz""; via name:Aveeno Eye Cream 14mL) | https://www.walmart.com/ip/380383842 (matched: ""Aveeno Absolutely Ageless Eye Cream 0.5 oz / 14 g""; via barcode:381371163816)",,,false,,,Aveeno Eye Cream 14mL,381371163816;385371163814,multi_barcode,"https://www.upcitemdb.com/upc/381371163816 (matched: ""UPC 381371163816 - Aveeno Absolutely Ageless 3in1 Under Eye AntiWrinkle Cream - 0.5oz""; via name:Aveeno Eye Cream 14mL) | https://www.amazon.com/Aveeno-Anti-Wrinkle-Antioxidant-Rich-Hypoallergenic-Non-Comedogenic/dp/B016OIV4VA (matched: ""Aveeno Absolutely Ageless 3-in-1 Anti-Wrinkle Eye Cream, 0.5 oz""; via name:Aveeno Eye Cream 14mL) | https://www.walmart.com/ip/380383842 (matched: ""Aveeno Absolutely Ageless Eye Cream 0.5 oz / 14 g""; via barcode:381371163816)"
204,Aveeno Restorative Night Cream,381371163779,Aveeno,Skincare,"Official Product Name:
Aveeno Restorative Night Cream",Aveeno Absolutely Ageless Restorative Night Cream 1.7 oz,,https://www.upcitemdb.com/upc/381371163779,https://www.walmart.com/ip/Aveeno-Absolutely-Ageless-Restorative-Night-Face-Cream-1-7-fl-oz/47431331,https://www.karewell.com/product/Aveeno-Absolutely-Ageless-Restorative-Facial-Anti-Aging-Night-Cream-1-7-Oz,high,verified,name confirmed by 2 independent sources and corroborated by barcode,"https://www.upcitemdb.com/upc/381371163779 (matched: ""UPC 381371163779 - Aveeno Absolutely Ageless Restorative Night Cream for Face 1.7 oz""; via name:Aveeno Restorative Night Cream) | https://www.walmart.com/ip/Aveeno-Absolutely-Ageless-Restorative-Night-Face-Cream-1-7-fl-oz/47431331 (matched: ""Aveeno Absolutely Ageless Restorative Night Cream for Face, 1.7 oz""; via name:Aveeno Restorative Night Cream) | https://www.karewell.com/product/Aveeno-Absolutely-Ageless-Restorative-Facial-Anti-Aging-Night-Cream-1-7-Oz (matched: ""Aveeno Absolutely Ageless Restorative Night Cream 1.7 oz""; via barcode:381371163779)",,,false,,,Aveeno Restorative Night Cream,381371163779,,"https://www.upcitemdb.com/upc/381371163779 (matched: ""UPC 381371163779 - Aveeno Absolutely Ageless Restorative Night Cream for Face 1.7 oz""; via name:Aveeno Restorative Night Cream) | https://www.walmart.com/ip/Aveeno-Absolutely-Ageless-Restorative-Night-Face-Cream-1-7-fl-oz/47431331 (matched: ""Aveeno Absolutely Ageless Restorative Night Cream for Face, 1.7 oz""; via name:Aveeno Restorative Night Cream) | https://www.karewell.com/product/Aveeno-Absolutely-Ageless-Restorative-Facial-Anti-Aging-Night-Cream-1-7-Oz (matched: ""Aveeno Absolutely Ageless Restorative Night Cream 1.7 oz""; via barcode:381371163779)"
498,Caudalie VinoPure លាបមុន 15ml,3522931005024,Caudalie,Skincare,"Official Product Name:
Caudalie VinoPure លាបមុន 15ml",Caudalie Vinopure Salicylic Acid Spot Solution 15ml,3562931005020,https://www.cultbeauty.com/p/caudalie-vinopure-salicylic-spot-solution-15ml/14843624/,https://www.caretobeauty.com/us/caudalie-vinopure-stop-boutons-salicylique-15ml/,https://www.jeancoutu.com/magasiner/categories/beaute/soins-du-visage/soins-cibles/boutons-ou-acne/vinopure-solution-ciblee-salicylique/p/3522931005024,high,verified,name confirmed by 2 independent sources and corroborated by barcode,"https://www.cultbeauty.com/p/caudalie-vinopure-salicylic-spot-solution-15ml/14843624/ (matched: ""Caudalie Vinopure Salicylic Spot Solution 15ml""; via name:Caudalie VinoPure លាបមុន 15ml) | https://www.caretobeauty.com/us/caudalie-vinopure-stop-boutons-salicylique-15ml/ (matched: ""Caudalie Vinopure Salicylic Spot Solution 15ml (0.5floz) USA""; via name:Caudalie VinoPure លាបមុន 15ml) | https://www.jeancoutu.com/magasiner/categories/beaute/soins-du-visage/soins-cibles/boutons-ou-acne/vinopure-solution-ciblee-salicylique/p/3522931005024 (matched: ""Vinopure Solution Ciblée Salicylique""; via barcode:3522931005024)",,,false,,,Caudalie VinoPure លាបមុន 15ml,3522931005024;3562931005020,multi_barcode,"https://www.cultbeauty.com/p/caudalie-vinopure-salicylic-spot-solution-15ml/14843624/ (matched: ""Caudalie Vinopure Salicylic Spot Solution 15ml""; via name:Caudalie VinoPure លាបមុន 15ml) | https://www.caretobeauty.com/us/caudalie-vinopure-stop-boutons-salicylique-15ml/ (matched: ""Caudalie Vinopure Salicylic Spot Solution 15ml (0.5floz) USA""; via name:Caudalie VinoPure លាបមុន 15ml) | https://www.jeancoutu.com/magasiner/categories/beaute/soins-du-visage/soins-cibles/boutons-ou-acne/vinopure-solution-ciblee-salicylique/p/3522931005024 (matched: ""Vinopure Solution Ciblée Salicylique""; via barcode:3522931005024)"
1237,Clarins Soothing Toning Lotion 400ml,3380810378863,Clarins,Skincare,"Official Product Name:
Clarins Soothing Toning Lotion 400ml",Clarins Soothing Toning Lotion 400ml,,https://www.clarinsusa.com/en/soothing-toning-face-lotion---sensitive-skin/CS00928223.html,https://www.ebay.com/itm/284780219217,https://www.argos.co.uk/product/7898772,high,verified,name confirmed by 2 independent sources and corroborated by barcode,"https://www.clarinsusa.com/en/soothing-toning-face-lotion---sensitive-skin/CS00928223.html (matched: ""Soothing Toning Face Lotion - Sensitive Skin | CLARINS""; via name:Clarins Soothing Toning Lotion 400ml) | https://www.ebay.com/itm/284780219217 (matched: ""Clarins Soothing Toning Lotion 400ml With Chamomile & Saffron Flower Extracts""; via name:Clarins Soothing Toning Lotion 400ml) | https://www.argos.co.uk/product/7898772 (matched: ""Clarins Soothing Toning Lotion 400 ml""; via barcode:3380810378863)",,,false,,,Clarins Soothing Toning Lotion 400ml,3380810378863,,"https://www.clarinsusa.com/en/soothing-toning-face-lotion---sensitive-skin/CS00928223.html (matched: ""Soothing Toning Face Lotion - Sensitive Skin | CLARINS""; via name:Clarins Soothing Toning Lotion 400ml) | https://www.ebay.com/itm/284780219217 (matched: ""Clarins Soothing Toning Lotion 400ml With Chamomile & Saffron Flower Extracts""; via name:Clarins Soothing Toning Lotion 400ml) | https://www.argos.co.uk/product/7898772 (matched: ""Clarins Soothing Toning Lotion 400 ml""; via barcode:3380810378863)"
1373,CLINIQUE Cleansing Balm 125ml,020714215552,Clinique,Skincare,"Official Product Name:
CLINIQUE Cleansing Balm 125ml",Clinique Take The Day Off Cleansing Balm 125ml,,https://www.clinique.com/product/20011/6424/skincare/makeup-removers/take-the-day-off-cleansing-balm,https://www.upcitemdb.com/upc/20714215552,https://www.iciparisxl.be/fr/clinique/take-the-day-off-cleansing-balm/baume-demaquillant-tous-types-de-peaux/p/BP_742123,high,verified,name confirmed by 2 independent sources and corroborated by barcode,"https://www.clinique.com/product/20011/6424/skincare/makeup-removers/take-the-day-off-cleansing-balm (matched: ""Take The Day Off Makeup Remover Cleansing Balm | Clinique""; via name:CLINIQUE Cleansing Balm 125ml) | https://www.upcitemdb.com/upc/20714215552 (matched: ""UPC 020714215552 - Clinique Take The Day Off Cleansing Balm Makeup Remover - 3.8oz - Ulta Beauty""; via name:CLINIQUE Cleansing Balm 125ml) | https://www.iciparisxl.be/fr/clinique/take-the-day-off-cleansing-balm/baume-demaquillant-tous-types-de-peaux/p/BP_742123 (matched: ""Clinique Take The Day Off Cleansing Balm 125 ml""; via barcode:020714215552)",,,false,,,CLINIQUE Cleansing Balm 125ml,020714215552,,"https://www.clinique.com/product/20011/6424/skincare/makeup-removers/take-the-day-off-cleansing-balm (matched: ""Take The Day Off Makeup Remover Cleansing Balm | Clinique""; via name:CLINIQUE Cleansing Balm 125ml) | https://www.upcitemdb.com/upc/20714215552 (matched: ""UPC 020714215552 - Clinique Take The Day Off Cleansing Balm Makeup Remover - 3.8oz - Ulta Beauty""; via name:CLINIQUE Cleansing Balm 125ml) | https://www.iciparisxl.be/fr/clinique/take-the-day-off-cleansing-balm/baume-demaquillant-tous-types-de-peaux/p/BP_742123 (matched: ""Clinique Take The Day Off Cleansing Balm 125 ml""; via barcode:020714215552)"
2361,Elixir The Serum+Essence,4909978282509,SK-II,Skincare,"Official Product Name:
Elixir The Serum+Essence",Elixir The Serum+Essence,,,,https://sundrug-online.com/en/products/4909978282509,low,hold,at least one barcode's web results describe a different product entirely; no independent source confirms the name,"https://sundrug-online.com/en/products/4909978282509 (matched: ""Shiseido ELIXIR The Serum aa Limited Trial Set""; via barcode:4909978282509)",,,false,,,Elixir The Serum+Essence,4909978282509,shared_barcode,"https://sundrug-online.com/en/products/4909978282509 (matched: ""Shiseido ELIXIR The Serum aa Limited Trial Set""; via barcode:4909978282509)"
2827,Haku Serum Melanofocus IV 45g,4909978224479,Shiseido,Skincare,"Official Product Name:
Haku Serum Melanofocus IV 45g",Shiseido HAKU Melanofocus IV Whitening Serum 45g,,https://japanesetaste.com/products/shiseido-haku-melanofocus-iv-brightening-beauty-serum-45g,https://wafuu.com/en-us/products/shiseido-haku-melanofocus-ev-whitening-serum-45g,https://ainz-tulpe.jp/products/4909978224479,high,verified,name confirmed by 2 independent sources and corroborated by barcode,"https://japanesetaste.com/products/shiseido-haku-melanofocus-iv-brightening-beauty-serum-45g (matched: ""Shiseido Haku Melanofocus IV Brightening Beauty Serum 45g""; via name:Haku Serum Melanofocus IV 45g) | https://wafuu.com/en-us/products/shiseido-haku-melanofocus-ev-whitening-serum-45g (matched: ""Shiseido HAKU Melanofocus IV Whitening Serum 45g""; via name:Haku Serum Melanofocus IV 45g) | https://ainz-tulpe.jp/products/4909978224479 (matched: ""HAKU Melanofocus IV 45g""; via barcode:4909978224479)",,,false,,,Haku Serum Melanofocus IV 45g,4909978224479,,"https://japanesetaste.com/products/shiseido-haku-melanofocus-iv-brightening-beauty-serum-45g (matched: ""Shiseido Haku Melanofocus IV Brightening Beauty Serum 45g""; via name:Haku Serum Melanofocus IV 45g) | https://wafuu.com/en-us/products/shiseido-haku-melanofocus-ev-whitening-serum-45g (matched: ""Shiseido HAKU Melanofocus IV Whitening Serum 45g""; via name:Haku Serum Melanofocus IV 45g) | https://ainz-tulpe.jp/products/4909978224479 (matched: ""HAKU Melanofocus IV 45g""; via barcode:4909978224479)"
660,Chanel Glow Foundation BD01 SPF25,31458918,Chanel,Makeup,"Official Product Name:
Chanel Glow Foundation BD01 SPF25",Chanel Glow Foundation BD01 SPF25,,,,,low,hold,no independent source confirms the name,,,,false,,,Chanel Glow Foundation BD01 SPF25,31458918,junk_barcode,
1058,Charlotte Tilbury Setting Spray No Box 100ml,5056446657228,Charlotte Tilbury,Makeup,"Official Product Name:
Charlotte Tilbury Setting Spray No Box 100ml",Charlotte Tilbury Airbrush Flawless Setting Spray 100ml,,https://www.charlottetilbury.com/us/product/airbrush-flawless-setting-spray,https://www.ulta.com/p/airbrush-flawless-setting-spray-pimprod2043342?sku=2619571,https://www.bol.com/be/nl/p/charlotte-tilbury-airbrush-flawless-setting-spray-xl-mini-duo-gezichtsset/9300000353449588/,medium,probable,barcode 5056446657228 corroborates the product line but points to a different variant/size; name is independently confirmed but the barcode disagreement holds confidence at medium,"https://www.charlottetilbury.com/us/product/airbrush-flawless-setting-spray (matched: ""Airbrush Flawless Setting Spray: Hydrating Waterproof Setting Spray | Charlotte Tilbury""; via name:Charlotte Tilbury Setting Spray No Box 100ml) | https://www.ulta.com/p/airbrush-flawless-setting-spray-pimprod2043342?sku=2619571 (matched: ""Charlotte Tilbury - Airbrush Flawless Hydrating & Waterproof Setting Spray""; via name:Charlotte Tilbury Setting Spray No Box 100ml) | https://www.bol.com/be/nl/p/charlotte-tilbury-airbrush-flawless-setting-spray-xl-mini-duo-gezichtsset/9300000353449588/ (matched: ""Charlotte Tilbury Airbrush Flawless Setting Spray XL + Mini Duo""; via barcode:5056446657228)",,,false,,,Charlotte Tilbury Setting Spray No Box 100ml,5056446657228,name_barcode_conflict,"https://www.charlottetilbury.com/us/product/airbrush-flawless-setting-spray (matched: ""Airbrush Flawless Setting Spray: Hydrating Waterproof Setting Spray | Charlotte Tilbury""; via name:Charlotte Tilbury Setting Spray No Box 100ml) | https://www.ulta.com/p/airbrush-flawless-setting-spray-pimprod2043342?sku=2619571 (matched: ""Charlotte Tilbury - Airbrush Flawless Hydrating & Waterproof Setting Spray""; via name:Charlotte Tilbury Setting Spray No Box 100ml) | https://www.bol.com/be/nl/p/charlotte-tilbury-airbrush-flawless-setting-spray-xl-mini-duo-gezichtsset/9300000353449588/ (matched: ""Charlotte Tilbury Airbrush Flawless Setting Spray XL + Mini Duo""; via barcode:5056446657228)"
1461,Colourpop Hello Kitty Aloha Honey,112158,ColourPop,Makeup,"Official Product Name:
Colourpop Hello Kitty Aloha Honey",ColourPop x Hello Kitty Aloha Honey Pressed Powder Blush,815142,https://www.ebay.com/itm/166461389521,https://www.temptalia.com/colourpop-x-hello-kitty-aloha-honey-blush-review-swatches/,,medium,probable,name confirmed by 2 independent sources; barcode did not corroborate (only junk barcodes on record),"https://www.ebay.com/itm/166461389521 (matched: ""ColourPop Hello Kitty Pressed Powder Blush Aloha Honey""; via name:Colourpop Hello Kitty Aloha Honey) | https://www.temptalia.com/colourpop-x-hello-kitty-aloha-honey-blush-review-swatches/ (matched: ""ColourPop x Hello Kitty Aloha Honey Blush Review & Swatches""; via name:Colourpop Hello Kitty Aloha Honey)",,,false,,,Colourpop Hello Kitty Aloha Honey,112158;815142,multi_barcode;junk_barcode,"https://www.ebay.com/itm/166461389521 (matched: ""ColourPop Hello Kitty Pressed Powder Blush Aloha Honey""; via name:Colourpop Hello Kitty Aloha Honey) | https://www.temptalia.com/colourpop-x-hello-kitty-aloha-honey-blush-review-swatches/ (matched: ""ColourPop x Hello Kitty Aloha Honey Blush Review & Swatches""; via name:Colourpop Hello Kitty Aloha Honey)"
